TimeStamp, Ax, Ay, Az, Gx, Gy, Gz
1420221595844501526, -2.597709, -4.359841, -19.215862, 0.069242, -4.340952, 2.814429
1420221600825491722, -0.794875, -2.607286, 7.800309, -3.325756, -1.994175, -2.818690
1420221603555757033, -1.692701, 4.680665, 8.896853, -0.370712, -0.139550, -0.116114
1420221598150059135, -0.593762, -9.320627, -19.612701, 3.034938, 3.745470, 1.163269
1420221602920702931, 3.476381, 3.177106, -10.587160, 18.143583, 3.451457, -1.987783
1420221600465445834, -5.334281, 1.625663, -9.909601, -6.751646, -2.488458, -2.405367
1420221601035514444, 3.399766, 1.905785, -15.974113, 6.160424, -3.210707, 1.464739
1420221601015512280, -1.642422, -6.244078, -19.612701, -1.411475, -6.149772, 0.049002
1420221601830600463, 6.761226, -2.683900, -6.169858, -0.327036, -5.881325, -1.561678
1420221601875604729, 3.756502, -1.165976, -16.938976, -0.239684, -0.704140, -0.129962
1420221598035034272, 4.857835, 1.798046, -19.612701, 0.215183, -3.081810, 1.244229
1420221589511919459, -0.651223, -11.774684, -9.476251, -3.700729, -1.062069, -1.419997
1420221593208513355, -7.335834, -6.495469, -14.233529, 1.519067, -1.120658, 2.042112
1420221601895606625, 4.400543, -0.390255, -19.612701, 0.818123, 0.258859, 0.305731
1420221594053953637, -16.215929, -7.975086, -9.358934, 0.628506, 6.737798, -2.288188
1420221596279577825, -10.737994, 1.077391, 0.292093, 2.473544, 2.193379, -2.606702
1420221590377162338, -1.965640, 0.677559, -11.353305, -3.079679, -2.576875, -0.809601
1420221590432179355, 0.605733, 0.984017, -10.704475, 1.002414, -2.488458, 1.230380
1420221600310425901, -0.679953, -19.613300, 5.228937, 4.155597, 7.391870, 0.814927
1420221592843321511, -8.078036, 6.327875, 8.956709, 0.584830, -0.964064, -2.390453
1420221599020234579, -1.929727, -14.360422, -17.978060, 4.316452, 4.189685, 0.258859
1420221596659644477, -7.989451, -7.386112, -9.842564, 0.657268, -2.743056, 1.541438
1420221592142959961, -11.870452, -1.163582, 4.833893, 3.787015, 3.186206, -2.514024
1420221598225075350, 3.560178, -13.931860, 1.302446, 3.450392, 7.494135, -0.202400
1420221593423626359, -14.832080, -10.280702, -3.493140, 0.761664, 7.771104, -2.323342
1420221602710683887, 0.804452, -7.967903, -6.299145, 1.270860, -2.426672, -0.560329
1420221600135403396, 4.424485, 2.499547, -19.612701, 3.837082, -7.612380, 3.762514
1420221595274394517, -8.456321, -9.215282, -11.281479, 0.928911, 0.080960, 1.518002
1420221602285643597, 7.666234, -8.655039, -11.563994, -1.994175, -3.461044, -0.476173
1420221597144782445, 11.499351, -3.416526, -15.488091, -0.001065, -5.182511, -1.457282
1420221590617237319, -3.483563, -9.514558, -11.698070, -0.296144, -1.748099, 3.221360
1420221597039749601, -4.426879, -2.513912, 1.101333, -1.128115, -1.684183, -2.749448
1420221591762765173, -2.358289, -0.885855, -16.836027, -0.610397, -4.207795, 3.031743
1420221589576919459, 1.510741, -11.219229, -10.311827, 1.183509, -1.029045, -1.544633
1420221603380742123, -0.304064, 5.583278, 7.747637, 0.137419, -0.162985, -0.092678
1420221602020618475, 5.262455, -2.264915, -6.574478, 1.702293, 2.543851, -0.267381
1420221592703247927, -13.069947, -12.715605, -8.585608, 0.020240, 6.943394, -1.997371
1420221590672262311, -7.041347, -12.425907, -19.612701, 1.346494, 1.946238, 2.309493
1420221595664469085, -6.033388, 3.361459, -6.011840, -0.856473, -4.125769, -0.795753
1420221588881919459, 0.323217, 4.189853, 9.339781, -0.324906, -0.258859, -0.304666
1420221599050239415, -0.095768, -17.719486, -5.051765, 4.701012, 7.040333, -0.158724
1420221593033421375, -0.430956, 0.742203, -6.148310, 0.189617, -4.562528, 1.073786
1420221594739292225, -16.400282, -8.748413, -10.790668, 0.418649, 5.042962, -2.374475
1420221590817328199, -8.980651, -12.404359, -1.340753, 1.875931, 6.273342, -1.476457
1420221592878339907, -6.100426, -0.399832, 2.564190, 0.194943, -2.934803, -1.600027
1420221598140056973, -0.828394, -11.468226, -19.612701, 2.936934, 2.150769, 1.031176
1420221598805199921, 12.246342, 1.908179, -7.094019, -5.864281, -2.239186, 0.395213
1420221592633211135, -10.888829, -11.434708, -13.630190, 0.851146, 3.717773, -0.169377
1420221592122949709, -10.754754, -9.394848, -0.079009, 3.193663, 5.172924, -2.878345
1420221603270732751, -0.976834, 5.734113, 7.541735, 0.257794, -0.056459, -0.409062
1420221593458644755, -10.620679, -8.856153, 5.623980, 2.720685, 7.505853, -1.925998
1420221599820362887, -0.735020, -13.323732, -15.174450, 6.590791, 4.072506, 0.932106
1420221602910702079, 1.592144, 1.352724, -17.223886, 18.107365, 3.072223, -0.715858
1420221598605157506, 1.024718, -18.468872, -7.709330, 4.285559, 5.772668, 0.460194
1420221592863332023, -6.548141, 0.383072, 4.817134, -0.405866, -2.140116, -2.045308
1420221589912018467, -2.178724, -9.129091, -7.601591, -4.248274, -4.745753, 4.206729
1420221601670583151, -2.844312, 2.497152, 10.110714, 0.202400, -0.954477, -1.955825
1420221599880370603, 5.736507, -19.613300, -1.297657, 2.277535, 5.095160, -1.461543
1420221592808303115, -11.791444, 0.158017, 5.439626, 3.251187, 2.403237, -2.401106
1420221589111919459, 0.019154, 3.541024, 7.915231, -0.758468, -0.116114, -0.563525
1420221601555570708, 3.141193, -16.898275, -6.311116, 4.232296, 5.154815, 1.800297
1420221593478655267, -14.101848, -3.308787, 2.755726, 2.950783, 6.689861, -2.122007
1420221601905607573, 4.642357, -0.414197, -19.612701, 1.182443, 0.502805, 0.209857
1420221598710180207, -7.754819, 9.765948, 12.765883, 0.073503, -3.581419, -3.729491
1420221597389859081, -8.693346, 1.635240, 9.167398, 0.935302, 0.402670, -1.062069
1420221599435301477, 3.272874, -11.968615, -11.343728, 5.032309, 6.025136, 1.413606
1420221591612689447, -2.267309, 3.428497, -2.695871, -1.573396, -3.271427, -0.882039
1420221589721959681, -0.275333, -1.472434, -3.318364, 4.707404, 0.903344, -1.851430
1420221599095246669, 0.526724, -14.690822, -0.002394, 5.075985, 5.656554, -1.956891
1420221592127952272, -10.630256, -7.228095, 0.991199, 3.331082, 4.762797, -2.817624
1420221601120523641, 0.179565, -14.010868, -12.346898, 3.335343, 5.086637, 2.177401
1420221598810200727, 10.390836, 0.816423, -9.088389, -6.261624, -2.017611, 0.416518
1420221596519619921, -0.102951, -4.314352, -13.302185, -0.990696, -4.758536, 2.196575
1420221603485751069, 0.284910, 5.911284, 1.077391, 0.120375, -0.154463, -0.140615
1420221596824682349, -14.437037, -8.951921, -16.974890, -0.288687, 5.567072, -1.203749
1420221590652253223, -5.240908, -7.596802, -19.612701, 0.941694, 0.917193, 2.719620
1420221602975707617, -1.659182, 8.693346, -0.744597, 10.437461, 2.377670, -2.298841
1420221599270274879, -2.456451, -0.335188, -19.612701, -4.828844, -3.130812, -1.435977
1420221589766973604, -0.936133, 3.919308, -1.915361, 3.010437, -0.761664, 0.467651
1420221589586919459, 1.912967, -12.394782, -10.510546, 1.596831, -0.547546, -1.760882
1420221588751919459, 0.598550, 4.285621, 8.817844, -0.364320, -0.475108, -0.149137
1420221601150526887, 0.533907, -17.946936, -2.152387, 3.500459, 6.282929, 1.873800
1420221591707736980, -0.679953, -4.481946, -15.303738, 1.291101, -4.272776, 2.045308
1420221594118987151, -11.231200, -8.166622, -1.010353, 0.885235, 7.289605, -2.935869
1420221591377582663, -12.447454, -10.601525, -11.142614, 0.547546, 6.655772, -2.419215
1420221601810598299, -4.443638, 10.366894, 3.373430, -3.212837, -3.306581, -2.094310
1420221590202108193, -5.145139, -10.374076, -3.634398, 5.442436, 3.762514, -3.051983
1420221595349408857, -10.290278, -7.608773, -12.358870, 1.803493, 3.057309, -0.073503
1420221597910007247, -5.748478, 0.555455, -1.704672, -5.802495, -3.105246, -3.457848
1420221597854995356, -13.187263, -0.258574, 12.717999, 0.413323, -1.589375, -2.400041
1420221593608723595, -5.410896, 0.509965, -5.940014, -0.997087, -3.836017, 0.010653
1420221602545668245, 1.161188, -0.529119, -6.804321, -0.268447, -0.247141, 0.520914
1420221591782775425, -4.252102, -3.715801, -16.306908, -0.148072, -4.333496, 2.796319
1420221592243011221, -4.589684, 1.158794, 0.304064, 0.045806, -3.717773, -1.755556
1420221602785690997, 12.519280, -5.928043, -19.612701, 5.151619, 0.861799, 0.385626
1420221594914325685, -8.336611, 3.244143, 6.464345, 0.160855, -0.886300, -2.593919
1420221601020512821, 7.805098, -14.360422, -19.612701, 3.693272, -6.198774, -0.229032
1420221598235077512, 2.272097, -13.910312, 4.369418, 3.422695, 7.079747, -0.413323
1420221601000510657, -5.497087, 4.975151, -6.572083, -2.691923, -2.890062, -0.497478
1420221594274067069, -3.191471, 2.590526, -3.342306, -0.906540, -2.781405, -0.101200
1420221596784669837, -11.585542, -8.413225, -14.489709, 0.282295, 3.697533, -0.318514
1420221596594633076, -3.701436, 0.361524, -13.606248, -0.664725, -5.250689, 1.797101
1420221594214036133, -7.098808, 3.191471, 1.699883, 1.147290, 0.641289, -1.148355
1420221593778811847, -1.450886, -6.129156, -12.114660, -1.125985, -4.074636, 2.074070
1420221600615465124, -1.331176, -4.829105, -14.949395, 3.207511, -1.983522, 0.967260
1420221599125251505, -9.878476, -2.003947, 11.580753, 5.523396, 1.865278, -2.002697
1420221597839992113, -14.010868, -5.068525, 6.368577, 2.628007, 1.965413, -1.446629
1420221602725685309, 16.517597, 6.253655, -16.998833, 0.821319, -3.082875, -1.296427
1420221597444876285, -2.540248, -2.056619, -1.628057, -1.669269, -1.432781, -0.785100
1420221592533159875, -7.951144, -8.152257, -13.129802, 0.736098, -1.410410, 2.088984
1420221601215533920, -3.105280, -7.898471, 17.147272, 3.827495, 1.339037, -1.845038
1420221598840205563, 9.184157, -3.469198, -12.430696, -6.422479, -2.389388, -0.441019
1420221596289579579, -9.627085, 2.583344, 1.233014, 2.002697, 1.255947, -2.447978
1420221595219384001, -6.775591, -4.197036, -12.265495, 1.454086, -2.500176, 2.174205
1420221589927023108, -1.295263, -9.181764, -6.435614, -4.656271, -4.229100, 4.172641
1420221590877355463, -12.430696, 3.620033, 1.872266, 2.671683, 1.714010, -1.864213
1420221603335738289, -0.773327, 5.030218, 8.401254, 0.106526, -0.096939, -0.175769
1420221599140253923, -7.967903, 1.405396, 17.314867, 3.610181, -1.433846, -2.625877
1420221593578707827, -6.404490, 0.885855, 1.699883, 0.224771, -4.209925, -0.492152
1420221597249815289, 1.398214, -1.065420, -17.997213, 3.645335, 0.842624, 2.333994
1420221593418623731, -15.150508, -10.031705, -4.326323, 0.621049, 7.792409, -2.308428
1420221601940610891, 8.379706, -4.455609, -13.725958, 1.960087, 1.680987, 0.329167
1420221599305280521, 1.750161, -0.426168, -19.612701, 0.602940, -2.601376, 0.460194
1420221592643216391, -11.736377, -11.678916, -14.561535, 0.834102, 4.136422, -0.468716
1420221590922375911, -6.294356, 2.944868, 3.509900, 0.090547, -1.429585, -1.499892
1420221594674273309, -13.215993, -8.125920, -15.660473, 1.177117, 2.419215, -0.249272
1420221590952389543, -5.578490, 2.523489, -0.201113, 0.302535, -2.062352, -0.115049
1420221592238008658, -4.565742, 0.423774, 1.225831, 0.121440, -3.649596, -1.927063
1420221597314835621, -1.503559, -17.451336, -6.742072, 4.126834, 5.038701, 1.936651
1420221592067921516, -11.860875, -12.452243, -4.388572, 0.528371, 7.691209, -2.460761
1420221596059539237, -11.453861, -8.592790, -12.399570, 1.281513, 3.376888, -0.276969
1420221593858853095, -5.224148, -1.843535, -10.443508, -0.300405, -4.460262, 0.900148
1420221602000616579, 6.177041, -7.096414, -9.356541, 2.818690, 2.262622, 0.077764
1420221593693768021, 0.306458, -9.181764, -15.524004, -0.780839, -3.526025, 1.184574
1420221596819680785, -13.977349, -8.576031, -16.642096, -0.197074, 5.354019, -1.075917
1420221593593715711, -5.408502, 0.694318, -0.869095, -0.296144, -4.187554, -0.360059
1420221601680584233, -2.817975, 3.684676, 9.349358, -1.336907, -1.900432, -1.928129
1420221602300645019, 13.838486, -10.627861, -6.794744, -2.825081, -2.180596, -0.201335
1420221600290423329, 4.383783, -19.156008, -2.552219, 3.660249, 8.131164, 1.159008
1420221597524901309, 3.153164, -3.564966, -14.463372, -5.869607, -0.888431, -0.746750
1420221592082929205, -11.599907, -11.159374, -3.117251, 1.088700, 7.551660, -2.566222
1420221598655168316, -3.921702, -16.716316, -0.658405, 3.475958, 6.331932, -1.521198
1420221598900215235, 9.162610, 0.009577, -19.612701, -0.320645, -1.597897, 1.046090
1420221600700476055, 2.133234, -15.574282, -5.422867, 6.139119, 7.174556, 0.752077
1420221595409420329, -15.468937, -10.524911, -12.263102, -0.525175, 5.107943, -2.038916
1420221594138997463, -10.733206, -5.925649, -0.768539, 1.343298, 6.941263, -2.756904
1420221599345286969, 13.919888, -1.364695, -9.617508, 2.612028, -5.552158, 0.998153
1420221590697273671, -7.055712, -13.316550, -18.205509, 0.655138, 2.942260, 1.651160
1420221595774489248, 0.600945, -3.313575, -12.847286, 4.261058, -5.372128, 3.715642
1420221599535317597, 3.227384, -1.929727, 19.613300, 2.146508, -1.121723, -1.853560
1420221596959724577, -15.181633, -2.638410, -5.925649, 3.799798, 6.073072, -3.048787
1420221591287541767, -10.517728, -10.132261, -19.612701, 1.003479, 1.790709, 0.105461
1420221591722744669, 0.998382, 0.675165, -19.612701, 1.946238, -4.719121, 2.828277
1420221600000386035, -4.493917, -1.422156, 2.877831, -5.424326, -3.611246, -3.745470
1420221602405654973, 5.714960, -2.516306, -11.777079, -1.199488, 0.075634, -0.197074
1420221599875369960, 4.515464, -19.440918, -2.667141, 2.124137, 4.897020, -1.311340
1420221592798297859, -11.762712, -6.430826, 3.205836, 3.490871, 3.543070, -2.640790
1420221602690681991, 8.173804, -0.407014, -15.102624, -0.928911, -0.606135, -0.966195
1420221596319584841, -7.929596, 6.706159, 4.304775, 0.341950, -1.225054, -1.720402
1420221600325427830, 2.674323, -11.767501, -9.878476, 3.874367, 5.268798, 0.000000
1420221595359410769, -10.680533, -7.675811, -12.445061, 1.618137, 3.472762, -0.410127
1420221592373077859, -2.315193, 0.679953, -15.397111, 1.695901, -4.028830, 2.430933
1420221601500564757, -2.583344, -8.595184, -19.612701, 3.984089, 1.169660, 1.812015
1420221600385435546, -0.727837, 5.793968, 16.728287, -0.441019, -2.148638, -2.055960
1420221600950505247, 1.278504, 0.306458, -13.127408, -2.427738, -2.746252, -0.925715
1420221598325096970, 0.842759, -3.883395, 1.431733, -7.582552, -2.501241, -3.407781
1420221592758276835, -10.568007, -10.840945, -1.462857, 1.190966, 7.476026, -2.102832
1420221596779668273, -11.240777, -8.255207, -13.972561, 0.396278, 3.404585, -0.206661
1420221597614929461, 7.558495, -4.905719, -13.972561, -1.159008, 0.463390, 1.133441
1420221595289397385, -8.508993, -10.218452, -11.791444, 1.130246, 0.804275, 1.217597
1420221588981919459, 0.316035, 3.208230, 10.026917, -0.056459, -0.145941, -0.111853
1420221601925609469, 7.290344, -4.532224, -15.009251, 1.867409, 0.994957, 0.292948
1420221600115400824, 4.149151, 1.130063, -19.612701, -1.504153, -4.151335, 1.100418
1420221592733263695, -10.484209, -11.494562, -1.386243, 0.231162, 7.964982, -2.237055
1420221602520665875, 1.015141, -1.058237, -6.713342, -0.272708, 0.246076, 0.350472
1420221603415745105, -0.129287, 5.171476, 8.010999, 0.049002, -0.085221, -0.066046
1420221598980228131, 0.227449, -5.159505, -18.511967, 3.601659, -1.552090, 0.939563
1420221591032425895, 0.050278, 2.384625, -12.667721, -3.076484, -3.364105, 2.151834
1420221597019743345, -8.094796, -0.043096, 4.716578, -0.959803, -0.841559, -3.259709
1420221592548167564, -8.614338, -8.911219, -15.480908, 1.184574, -0.630637, 1.855691
1420221590177100458, -8.547300, -14.786590, -3.406949, 3.391802, 5.851498, -2.507632
1420221590092074159, -8.695741, -13.508086, -17.525557, 0.477238, 5.161206, -1.233576
1420221598500134805, -2.928109, -3.912126, -17.238253, 1.979261, -3.434412, 1.123854
1420221592363072733, -2.422932, -0.799663, -14.221559, 2.230664, -3.892476, 2.344647
1420221594374118629, -0.562637, -5.159505, -13.850457, -1.386974, -3.129747, 0.670051
1420221596264575194, -12.662932, -1.438915, -1.017536, 2.745186, 4.127900, -2.651443
1420221590552216483, -0.062249, 0.670376, -16.687586, -0.186421, -3.486610, 3.189402
1420221593463647383, -10.436325, -7.958326, 6.093243, 2.947587, 7.646468, -1.934520
1420221590277131398, -4.113238, -4.311957, 4.283227, -0.400539, -1.758752, -3.250122
1420221593723783489, 2.892196, -0.565032, -6.830657, 3.647465, -5.480785, 3.572897
1420221590442182449, 0.251391, 1.400608, -10.872070, 0.708401, -2.361691, 1.516937
1420221590477193278, -0.658405, 2.217031, -2.607286, 0.219444, -3.629356, 2.424542
1420221588826919459, 0.488417, 4.010288, 9.229648, -0.278034, -0.383495, -0.267381
1420221592603195757, -9.935937, -9.464279, -15.775395, 0.891626, 2.175270, 0.723315
1420221598430119671, -6.114791, 3.485958, -18.825607, 2.696184, -1.218663, 0.733967
1420221601750591807, -2.442086, -2.535460, -9.090784, -6.265885, -2.652508, -2.998719
1420221598445122914, -19.613300, 9.375694, 3.222595, 2.041047, -4.010721, 2.165683
1420221592047911264, -13.122620, -12.689269, -7.323863, 0.630637, 7.278952, -2.120941
1420221595574451877, -12.117055, 6.517017, 5.329493, 1.847169, -0.673247, -3.080745
1420221593288555403, -9.979033, -7.678205, -13.395558, 2.054895, 2.726012, 0.876713
1420221593483657895, -14.865599, -1.857901, 2.296039, 2.751578, 5.913283, -2.194445
1420221598720182369, -0.584185, 5.279215, 12.928689, -2.035720, -3.334278, -3.430151
1420221594929328553, -7.596802, 2.231396, 6.785168, -0.284426, -1.810950, -2.326538
1420221589176919459, -0.282516, 0.775721, 5.743690, -3.110572, 0.410127, -0.513457
1420221603535755329, -0.859518, 6.684611, 9.378088, -0.153398, 0.499609, -0.025566
1420221601280540953, -0.715866, -7.457938, -0.011971, -5.323126, -1.766208, -2.755839
1420221598060039677, -0.263362, 4.917690, -19.612701, -1.084439, -6.928480, 1.086570
1420221601010511739, -10.273520, 1.180341, -19.612701, -4.595551, -4.892759, 0.470847
1420221603540755755, -2.382231, 7.316680, 9.562442, -0.199204, 0.472977, -0.009587
1420221590912371367, -7.204153, 3.567361, 4.209007, 0.156594, -0.985370, -1.761947
1420221601660582069, -2.894590, 0.124498, 9.871294, 1.316667, -0.027697, -1.977131
1420221600620465767, -0.682347, -7.520187, -16.232687, 3.228817, -1.453021, 0.924650
1420221596229569055, -9.109938, -7.783550, 1.618480, 2.101767, 6.738863, -2.650378
1420221588781919459, 0.433351, 3.670311, 8.762778, -0.274838, -0.450607, -0.189617
1420221595059353409, 1.395820, -7.302315, -15.466543, -1.255947, -3.970241, 0.026632
1420221589326919459, 0.569820, -12.397177, 2.774880, -11.705126, 0.626375, -0.021305
1420221597469884105, -1.003170, -1.331176, -5.863400, -2.838930, -1.113201, -0.611462
1420221595029347673, -0.035913, 0.191536, -12.538434, -3.454653, -4.434696, -0.898018
1420221601255538248, 1.132457, -1.383849, 8.951921, -4.199272, -1.724663, -2.442651
1420221600905500378, -1.316811, -0.557849, -8.894460, -4.725513, -2.549178, -1.967543
1420221593018413491, -1.321599, -4.302381, -14.439430, -0.090547, -3.749731, 0.591222
1420221589471919459, 0.938527, -5.461174, -7.503428, -2.775014, -0.972586, -0.683900
1420221600340429759, 1.534683, -9.564836, -1.031901, 5.290103, 4.232296, -1.535046
1420221602565670141, 1.046266, -1.132457, -6.533776, -0.638093, -0.602940, 0.405866
1420221601395553396, 2.466028, 6.186617, -19.333179, -1.385909, -1.739577, 0.404800
1420221596684648862, -9.615114, -6.244078, -14.659697, 0.901214, -1.498827, 1.386974
1420221602320646915, 5.262455, -6.385336, -9.991004, -0.858603, 0.094809, -0.417584
1420221603150722527, -0.945710, 5.702989, 7.972692, 2.176335, 0.555003, -0.764860
1420221595044350541, 1.661576, -3.610456, -15.751453, -2.809102, -4.354801, -0.670051
1420221598480130481, -5.293580, -0.632069, -17.535133, 0.588026, -2.477805, 1.105744
1420221589501919459, -1.441309, -7.881712, -9.425972, -3.760383, -0.723315, -1.165399
1420221599900373175, 4.276044, -13.438654, 2.719813, 2.610963, 5.906891, -2.113485
1420221593518676291, -10.146626, 4.580108, 0.445322, 1.110005, 0.675378, -1.812015
1420221598185066702, -0.153229, -14.700398, -13.007698, 4.855475, 6.081594, 1.580852
1420221601930609943, 7.886500, -4.838682, -14.010868, 1.982457, 1.188835, 0.353668
